FIFA World Cup 2026™ — Complete Master University & Prep School Facilities,,,,
Consolidated master inventory of all 35 university and school-based training camp options.,,,,
,,,,
ID,Facility Name,City,Latitude,Longitude
1,Episcopal High School,"Alexandria, VA, USA",38.8315,-77.0874
2,Kennesaw State University,"Kennesaw, GA, USA",34.0381,-84.5818
3,Stockton University,"Galloway, NJ, USA",39.4893,-74.6295
4,Florida Atlantic University,"Boca Raton, FL, USA",26.3725,-80.1039
5,Boise State University,"Boise, ID, USA",43.6029,-116.2023
6,UNC Chapel Hill,"Chapel Hill, NC, USA",35.9049,-79.0469
7,Baylor School / The Baylor School,"Chattanooga, TN, USA",35.0887,-85.3195
8,US Air Force Academy,"Colorado Springs, CO, USA",39.0063,-104.8856
9,University of South Carolina,"Columbia, SC, USA",33.9989,-81.0320
10,Dallas Baptist University,"Dallas, TX, USA",32.7214,-96.9452
11,University of Dallas,"Dallas, TX, USA",32.8427,-96.9201
12,University of North Texas,"Denton, TX, USA",33.2148,-97.1331
13,Texas Christian University (TCU),"Fort Worth, TX, USA",32.7099,-97.3626
14,Oakland University,"Rochester, MI, USA",42.6775,-83.2173
15,UNC Greensboro,"Greensboro, NC, USA",36.0692,-79.8105
16,University of Kansas (Rock Chalk Park),"Lawrence, KS, USA",38.9958,-95.2813
17,Michigan State University,"Lansing, MI, USA",42.7018,-84.4822
18,Mercer University,"Macon, GA, USA",32.8253,-83.6517
19,Coastal Carolina University,"Conway, SC, USA",33.7915,-79.0519
20,Rutgers University,"Piscataway, NJ, USA",40.5216,-74.4610
21,The Pingry School,"Basking Ridge, NJ, USA",40.7040,-74.5424
22,University of Oklahoma,"Norman, OK, USA",35.2059,-97.4456
23,CF Pachuca – Universidad del Fútbol,"Pachuca, Mexico",20.1239,-98.7364
24,University of Portland,"Portland, OR, USA",45.5746,-122.7275
25,University of Utah,"Salt Lake City, UT, USA",40.7584,-111.8477
26,University of San Diego – Torero Stadium,"San Diego, CA, USA",32.7725,-117.1897
27,San Diego Jewish Academy (SDJA),"San Diego, CA, USA",32.9554,-117.2185
28,Spartan Soccer Complex (San Jose State),"San Jose, CA, USA",37.3352,-121.8811
29,Gonzaga University – Luger Field,"Spokane, WA, USA",47.6672,-117.4015
30,Saint Louis University,"St. Louis, MO, USA",38.6364,-90.2330
31,Wake Forest University – Spry Stadium,"Winston-Salem, NC, USA",36.1341,-80.2763
32,UC Santa Barbara – Harder Stadium,"Goleta, CA, USA",34.4125,-119.8489
33,Bentley University,"Waltham, MA, USA",42.3862,-71.2216
34,Bryant University,"Smithfield, RI, USA",42.1834,-71.5453
35,Westmont College,"Santa Barbara, CA, USA",34.4442,-119.6389
