First Team,Second Team,Stadium / City,Group,Stage
Mexico,South Africa,Mexico City Stadium (Mexico City),Group A,First Stage
South Korea,Czechia,Guadalajara Stadium (Guadalajara),Group A,First Stage
Czechia,South Africa,Atlanta Stadium (Atlanta),Group A,First Stage
Mexico,South Korea,Guadalajara Stadium (Guadalajara),Group A,First Stage
South Africa,South Korea,Monterrey Stadium (Monterrey),Group A,First Stage
Czechia,Mexico,Mexico City Stadium (Mexico City),Group A,First Stage
Canada,Bosnia and Herzegovina,Toronto Stadium (Toronto),Group B,First Stage
Qatar,Switzerland,San Francisco Bay Area Stadium,Group B,First Stage
Switzerland,Bosnia and Herzegovina,Los Angeles Stadium (Los Angeles),Group B,First Stage
Canada,Qatar,BC Place Vancouver (Vancouver),Group B,First Stage
Switzerland,Canada,BC Place Vancouver (Vancouver),Group B,First Stage
Bosnia and Herzegovina,Qatar,Seattle Stadium (Seattle),Group B,First Stage
Brazil,Morocco,New York/New Jersey Stadium,Group C,First Stage
Haiti,Scotland,Boston Stadium (Boston),Group C,First Stage
Brazil,Haiti,Philadelphia Stadium (Philadelphia),Group C,First Stage
Scotland,Morocco,Boston Stadium (Boston),Group C,First Stage
Scotland,Brazil,Miami Stadium (Miami),Group C,First Stage
Morocco,Haiti,Atlanta Stadium (Atlanta),Group C,First Stage
United States,Paraguay,Los Angeles Stadium (Los Angeles),Group D,First Stage
Australia,Türkiye,BC Place Vancouver (Vancouver),Group D,First Stage
United States,Australia,Seattle Stadium (Seattle),Group D,First Stage
Türkiye,Paraguay,San Francisco Bay Area Stadium,Group D,First Stage
Türkiye,United States,Los Angeles Stadium (Los Angeles),Group D,First Stage
Paraguay,Australia,San Francisco Bay Area Stadium,Group D,First Stage
Germany,Curaçao,Houston Stadium (Houston),Group E,First Stage
Ivory Coast,Ecuador,Philadelphia Stadium (Philadelphia),Group E,First Stage
Germany,Ivory Coast,Toronto Stadium (Toronto),Group E,First Stage
Ecuador,Curaçao,Kansas City Stadium (Kansas City),Group E,First Stage
Curaçao,Ivory Coast,Philadelphia Stadium (Philadelphia),Group E,First Stage
Ecuador,Germany,New York/New Jersey Stadium,Group E,First Stage
Netherlands,Japan,Dallas Stadium (Dallas),Group F,First Stage
Sweden,Tunisia,Monterrey Stadium (Monterrey),Group F,First Stage
Netherlands,Sweden,Houston Stadium (Houston),Group F,First Stage
Tunisia,Japan,Monterrey Stadium (Monterrey),Group F,First Stage
Japan,Sweden,Dallas Stadium (Dallas),Group F,First Stage
