Country,Avg High Temp (°C)
Algeria,40.1
Argentina,14.4
Australia,21.9
Austria,21.5
Belgium,22.7
Bosnia and Herzegovina,25.7
Brazil,29.8
Cabo Verde,27.1
Canada,16.1
Colombia,29
Croatia,26.6
Curaçao,31.9
Czech Republic,22.9
DR Congo,29.5
Ecuador,26.8
Egypt,37.4
England,18.1
France,23.8
Germany,22.7
Ghana,29.6
Haiti,31.7
Iran,36.7
Iraq,41.9
Ivory Coast,30
Japan,24.7
Jordan,35.7
Mexico,32.9
Morocco,32.2
Netherlands,21.4
New Zealand,10.4
Norway,14.6
Panama,29.5
Paraguay,24.6
Portugal,28
Qatar,41.5
Saudi Arabia,41.1
Scotland,18.1
Senegal,35.6
South Africa,20.1
South Korea,27.1
Spain,28.2
Sweden,18.8
Switzerland,19.3
Tunisia,34.4
Türkiye,27.9
United States,26.7
Uruguay,16.6
Uzbekistan,34.7
