Country,Offset
Algeria,+1
Argentina,-3
Australia,+10
Austria,+2
Belgium,+2
Bosnia and Herzegovina,+2
Brazil,-3
Canada,-4
Cape Verde,-1
Colombia,-5
Croatia,+2
DR Congo,+1
Ecuador,-5
Egypt,+3
England,+1
France,+2
Germany,+2
Ghana,0
Ivory Coast,0
Japan,+9
Mexico,-6
Morocco,+1
Netherlands,+2
Nigeria,+1
Norway,+2
Paraguay,-4
Portugal,+1
Senegal,0
South Africa,+2
Spain,+2
Sweden,+2
Switzerland,+2
United States,-4
Uruguay,-3
Poland,+2
Denmark,+2
Serbia,+2
South Korea,+9
Tunisia,+1
Cameroon,+1
Chile,-4
Peru,-5
Turkey,+3
Saudi Arabia,+3
Iran,+3:30
Qatar,+3
United Arab Emirates,+4
New Zealand,+12
