Country,City,Stadium
Canada,Toronto,BMO Field (Toronto Stadium)
Canada,Vancouver,BC Place
Mexico,Guadalajara,Estadio Akron (Guadalajara Stadium)
Mexico,Mexico City,Estadio Azteca
Mexico,Monterrey,Estadio BBVA (Monterrey Stadium)
United States,Atlanta,Mercedes-Benz Stadium
United States,Boston,Gillette Stadium
United States,Dallas,AT&T Stadium
United States,Houston,NRG Stadium
United States,Kansas City,GEHA Field at Arrowhead Stadium
United States,Los Angeles,SoFi Stadium
United States,Miami,Hard Rock Stadium
United States,New York / New Jersey,MetLife Stadium
United States,Philadelphia,Lincoln Financial Field
United States,San Francisco Bay Area,Levi's Stadium
United States,Seattle,Lumen Field
