FIFA World Cup 2026 - Hosting Stadiums & Coordinates,,,,
"Overview of venues across the United States, Mexico, and Canada with geographic coordinates.",,,,
,,,,
Stadium Name,City / Metropolitan Area,Country,Latitude (°),Longitude (°)
MetLife Stadium,East Rutherford (New York/New Jersey),United States,40.8135,-74.0744
AT&T Stadium,Arlington (Dallas),United States,32.7473,-97.0945
SoFi Stadium,Inglewood (Los Angeles),United States,33.9535,-118.3390
Levi's Stadium,Santa Clara (San Francisco Bay Area),United States,37.4033,-121.9694
Hard Rock Stadium,Miami Gardens (Miami),United States,25.9580,-80.2389
Mercedes-Benz Stadium,Atlanta,United States,33.7555,-84.4006
Lumen Field,Seattle,United States,47.5952,-122.3316
NRG Stadium,Houston,United States,29.6847,-95.4107
Lincoln Financial Field,Philadelphia,United States,39.9008,-75.1675
GEHA Field at Arrowhead Stadium,Kansas City,United States,39.0489,-94.4839
Gillette Stadium,Foxborough (Boston),United States,42.0909,-71.2643
Estadio Azteca,Mexico City,Mexico,19.3029,-99.1505
Estadio BBVA,Guadalupe (Monterrey),Mexico,25.6692,-100.2446
Estadio Akron,Zapopan (Guadalajara),Mexico,20.6820,-103.4625
BC Place,Vancouver,Canada,49.2768,-123.1120
BMO Field,Toronto,Canada,43.6332,-79.4186
