name,latitude_deg,longitude_deg,country_name,region_name
Albany International Airport,42.748299,-73.801697,United States,New York
Albuquerque International Sunport,35.039976,-106.608925,United States,New Mexico
Ted Stevens Anchorage International Airport,61.179004,-149.992561,United States,Alaska
Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,United States,Georgia
Austin Bergstrom International Airport,30.197535,-97.662015,United States,Texas
Baltimore/Washington International Thurgood Marshall Airport,39.1754,-76.668297,United States,Maryland
Birmingham-Shuttlesworth International Airport,33.562877,-86.750712,United States,Alabama
Boise Air Terminal/Gowen Field,43.5644,-116.223,United States,Idaho
Boston Logan International Airport,42.36197,-71.0079,United States,Massachusetts
Buffalo Niagara International Airport,42.940498,-78.732201,United States,New York
Hollywood Burbank/Bob Hope Airport,34.202834,-118.35805,United States,California
Charleston International Airport,32.896159,-80.038151,United States,South Carolina
Charlotte Douglas International Airport,35.2140007019043,-80.9430999755859,United States,North Carolina
Chicago O'Hare International Airport,41.9786,-87.9048,United States,Illinois
Chicago Midway International Airport,41.785999,-87.752403,United States,Illinois
Cincinnati Northern Kentucky International Airport,39.048801,-84.667801,United States,Kentucky
Cleveland Hopkins International Airport,41.411701,-81.8498,United States,Ohio
City of Colorado Springs Municipal Airport,38.805801,-104.700996,United States,Colorado
John Glenn Columbus International Airport,39.998001,-82.891899,United States,Ohio
Dallas Love Field,32.844776,-96.847653,United States,Texas
Dallas Fort Worth International Airport,32.896801,-97.038002,United States,Texas
Denver International Airport,39.860027,-104.673792,United States,Colorado
Des Moines International Airport,41.534027,-93.656719,United States,Iowa
Detroit Metropolitan Wayne County Airport,42.21377,-83.353786,United States,Michigan
Washington Dulles International Airport,38.9445,-77.455803,United States,Virginia
El Paso International Airport,31.809908,-106.375607,United States,Texas
Fort Lauderdale Hollywood International Airport,26.072599,-80.152702,United States,Florida
Southwest Florida International Airport,26.534685,-81.752816,United States,Florida
Fresno Yosemite International Airport,36.775767,-119.718018,United States,California
Gerald R. Ford International Airport,42.880798,-85.522797,United States,Michigan
Piedmont Triad International Airport,36.09937,-79.937262,United States,North Carolina
Bradley International Airport,41.938555,-72.688016,United States,Connecticut
Daniel K. Inouye International Airport,21.318387,-157.92567,United States,Hawaii
George Bush Intercontinental Airport,29.9844,-95.3414,United States,Texas
William P. Hobby Airport,29.645336,-95.276812,United States,Texas
Indianapolis International Airport,39.7173,-86.294403,United States,Indiana
Jacksonville International Airport,30.492469,-81.687813,United States,Florida
Kahului International Airport,20.896263,-156.431837,United States,Hawaii
Ellison Onizuka Kona International Airport at Keāhole,19.738783,-156.045603,United States,Hawaii
Kansas City International Airport,39.301699,-94.713893,United States,Missouri
McGhee Tyson Airport,35.811001,-83.994003,United States,Tennessee
Harry Reid International Airport,36.083361,-115.151817,United States,Nevada
Lihue Airport,21.974393,-159.337146,United States,Hawaii
Long Beach International Airport,33.816523,-118.149891,United States,California
Los Angeles International Airport,33.942501,-118.407997,United States,California
Louisville Muhammad Ali International Airport,38.1706,-85.735076,United States,Kentucky
Memphis International Airport,35.043845,-89.97634,United States,Tennessee
Miami International Airport,25.796011,-80.289751,United States,Florida
General Mitchell International Airport,42.947201,-87.896599,United States,Wisconsin
Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,44.880081,-93.221741,United States,Minnesota
Myrtle Beach International Airport,33.679699,-78.928299,United States,South Carolina
Nashville International Airport,36.1245,-86.6782,United States,Tennessee
Louis Armstrong New Orleans International Airport,29.993401,-90.264673,United States,Louisiana
John F. Kennedy International Airport,40.639447,-73.779317,United States,New York
LaGuardia Airport,40.777199,-73.872597,United States,New York
Newark Liberty International Airport,40.6894,-74.170545,United States,New Jersey
Norfolk International Airport,36.895341,-76.201,United States,Virginia
Oakland San Francisco Bay Airport,37.720085,-122.221184,United States,California
OKC Will Rogers World Airport,35.393388,-97.598248,United States,Oklahoma
Eppley Airfield,41.3032,-95.894096,United States,Nebraska
Ontario International Airport,34.056,-117.600998,United States,California
Orlando International Airport,28.4293994903564,-81.3089981079102,United States,Florida
Orlando Sanford International Airport,28.774277,-81.234626,United States,Florida
Palm Springs International Airport,33.8297,-116.507004,United States,California
Pensacola International Airport,30.472718,-87.186639,United States,Florida
Philadelphia International Airport,39.871899,-75.241096,United States,Pennsylvania
Phoenix Sky Harbor International Airport,33.435302,-112.005905,United States,Arizona
St. Petersburg Clearwater International Airport,27.9102,-82.687401,United States,Florida
Pittsburgh International Airport,40.491501,-80.232903,United States,Pennsylvania
Portland International Jetport,43.646198,-70.309303,United States,Maine
Portland International Airport,45.588699,-122.598,United States,Oregon
Rhode Island T. F. Green International Airport,41.725038,-71.425668,United States,Rhode Island
Raleigh-Durham International Airport,35.878659,-78.7873,United States,North Carolina
Reno Tahoe International Airport,39.4991,-119.767998,United States,Nevada
Richmond International Airport,37.505199,-77.319702,United States,Virginia
Frederick Douglass Greater Rochester International Airport,43.1189,-77.672401,United States,New York
Sacramento International Airport,38.6954,-121.591003,United States,California
Salt Lake City International Airport,40.78886,-111.979866,United States,Utah
San Antonio International Airport,29.533701,-98.469803,United States,Texas
San Bernardino International Airport,34.096717,-117.236596,United States,California
San Diego International Airport,32.733601,-117.190002,United States,California
San Francisco International Airport,37.619806,-122.374821,United States,California
Norman Y. Mineta San Jose International Airport,37.362452,-121.929188,United States,California
John Wayne Orange County International Airport,33.675063,-117.869281,United States,California
Sarasota Bradenton International Airport,27.394631,-82.554359,United States,Florida
Savannah Hilton Head International Airport,32.126591,-81.19998,United States,Georgia
Seattle–Tacoma International Airport,47.447943,-122.310276,United States,Washington
Spokane International Airport,47.6199,-117.533997,United States,Washington
St. Louis Lambert International Airport,38.748697,-90.370003,United States,Missouri
Syracuse Hancock International Airport,43.111198425293,-76.1063003540039,United States,New York
Tampa International Airport,27.9755,-82.533203,United States,Florida
Tucson International Airport,32.115004,-110.938053,United States,Arizona
Tulsa International Airport,36.197084,-95.886225,United States,Oklahoma
Ronald Reagan Washington National Airport,38.8521,-77.037697,United States,District of Columbia
President Donald J. Trump International Airport,26.683201,-80.095596,United States,Florida
Calgary International Airport,51.118822,-114.009933,Canada,Calgary
Edmonton International Airport,53.3097,-113.580002,Canada,Edmonton
Halifax / Stanfield International Airport,44.8807983398,-63.5085983276,Canada,Halifax
Kelowna International Airport,49.9561,-119.377998,Canada,Kelowna
Montreal / Pierre Elliott Trudeau International Airport,45.467837,-73.742294,Canada,Montréal
Ottawa Macdonald-Cartier International Airport,45.322498,-75.669197,Canada,Ottawa
Quebec Jean Lesage International Airport,46.7911,-71.393303,Canada,Quebec
Saskatoon John G. Diefenbaker International Airport,52.170723,-106.700793,Canada,Saskatoon
St. John's International Airport,47.618599,-52.7519,Canada,St. John's
Toronto Pearson International Airport,43.675935,-79.629421,Canada,Toronto
Vancouver International Airport,49.193901,-123.183998,Canada,Vancouver
Victoria International Airport,48.647201,-123.427792,Canada,Victoria
Winnipeg / James Armstrong Richardson International Airport,49.9099998474,-97.2398986816,Canada,Winnipeg
